PlasticType,meltFlowIndex_Gramsper10Min,MoistureContent_Percentage,InjectionTemperature_Celcius,InjectionpPressure_Bar,MoldTemperature_Celcius,CoolingTime_Seconds,ScrewSpeed_RevolutionsPerMinute,ClampForce_Tons,CycleTime_Seconds,ScrapRate_Percentage
Polycarbonate,12.076048691663583,0.05031283408932008,284.89701109948555,15754.058522312349,82.03618895407472,23.843083763088032,43.63262409782383,98.39296327639971,29.282154247331903,2.362137524360867
Polypropylene,5.050744989650245,0.06227178955740749,215.01821043759668,11403.084072525826,82.1958589155156,26.953066141342976,55.31558534287125,95.7513819298902,47.84535540352599,9.253763234034317
Polycarbonate,18.26447404825528,0.03068224008007783,232.8401228499113,11582.727224374123,28.973628581997424,26.79148733622587,59.90208352439399,82.25469105741058,33.63852275209766,1.3333227882095198
Polycarbonate,7.009026039374742,0.02680958092507913,245.40839855112998,10624.451258614601,54.60417472872318,27.83122239224544,43.75865597253629,66.35992153172438,37.850855284381154,3.173038238266837
ABS,21.306438841503514,0.034051607358310886,318.3031400424257,15757.539121949001,66.28270239410486,25.83116995599877,64.67780775828376,95.7329521809194,31.09292948514455,2.80491013156856
ABS,24.268475738240564,0.09033371075182724,235.94845740158357,16064.05130989497,83.19358899638927,34.56706063446305,54.050127649440554,89.28560585847929,50.01547940979289,5.34813081954365
Polycarbonate,19.953489483918133,0.03692034985984509,289.07980646766026,12267.242548210092,97.43693777549012,26.51451372352754,62.98173708328708,87.97196581501461,34.471286802950495,0.9338968629890263
Polypropylene,13.167089055168903,0.0016280409403295342,272.06734475557283,19148.350502345285,76.46016816642397,20.845868447243994,23.863672875567392,110.15864181114141,25.987628275575542,0.0
ABS,22.439403823079893,0.09453480684034476,249.9232675116312,19155.50159941592,70.58914527240034,24.699288352640863,63.564337271994184,67.2423691448144,34.7360595089779,5.356532872686829
Polycarbonate,17.383613008291185,0.07633434744018325,243.91199508998756,18902.38921216467,71.3405310842757,24.52852931944163,68.73160545763132,103.5574184355574,33.906598809844205,4.236221043268946
ABS,28.705584429206876,0.060696470791608545,261.80521772349596,17129.604189906677,88.59937701062144,18.161276092695076,49.02072090928614,138.90187723299616,22.640411567762904,0.0
